Comunidades y Ciudades Autónomas;Sexo;Características demográficas;Tipo de uso de TIC;Total
Total Nacional;Hombres;Hábitat: Menos de 10.000 habitantes;Total Personas;3.293.262
Total Nacional;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,0
Total Nacional;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet en los últimos 3 meses;89,0
Total Nacional;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;86,6
Total Nacional;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);75,1
Total Nacional;Hombres;Hábitat: Menos de 10.000 habitantes;Personas que han comprado a través de Internet en los últimos 3 meses;47,1
Total Nacional;Hombres;Tamaño del hogar: Hogares de 1 miembro;Total Personas;1.730.622
Total Nacional;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,8
Total Nacional;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet en los últimos 3 meses;88,4
Total Nacional;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;85,0
Total Nacional;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);75,3
Total Nacional;Hombres;Tamaño del hogar: Hogares de 1 miembro;Personas que han comprado a través de Internet en los últimos 3 meses;48,0
Total Nacional;Hombres;Tamaño del hogar: Hogares de 2 miembros;Total Personas;4.406.339
Total Nacional;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;97,5
Total Nacional;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet en los últimos 3 meses;86,1
Total Nacional;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;83,1
Total Nacional;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);72,7
Total Nacional;Hombres;Tamaño del hogar: Hogares de 2 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;46,4
Total Nacional;Hombres;Tamaño del hogar: Hogares de 3 miembros;Total Personas;5.155.117
Total Nacional;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,3
Total Nacional;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet en los últimos 3 meses;95,7
Total Nacional;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;93,4
Total Nacional;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);85,0
Total Nacional;Hombres;Tamaño del hogar: Hogares de 3 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;56,5
Total Nacional;Hombres;Tamaño del hogar: Hogares de 4 miembros;Total Personas;4.616.683
Total Nacional;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,3
Total Nacional;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet en los últimos 3 meses;98,3
Total Nacional;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;97,2
Total Nacional;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);89,5
Total Nacional;Hombres;Tamaño del hogar: Hogares de 4 miembros;Personas que han comprado a través de Internet en los últimos 3 meses;63,3
Total Nacional;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Total Personas;1.563.873
Total Nacional;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado el teléfono móvil en los últimos 3 meses;99,0
Total Nacional;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet en los últimos 3 meses;95,3
Total Nacional;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet al menos una vez por semana en los últimos 3 meses;95,0
Total Nacional;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han utilizado Internet diariamente (al menos 5 días a la semana);87,6
Total Nacional;Hombres;Tamaño del hogar: Hogares de 5 ó más miembros;Personas que han comprado a través de Internet en los últimos 3 meses;49,9
Total Nacional;Mujeres;Total Personas;Total Personas;17.765.654
Total Nacional;Mujeres;Total Personas;Personas que han utilizado el teléfono móvil en los últimos 3 meses;98,9
